e063fa6ae7c139ccafac7fc769f8085f|In einem Fréchet-Raum ist jede Schnittmenge abzählbar vieler offener Mengen selbst eine offene Menge.|in einem fréchet-raum ist jede schnittmenge abzählbar vieler offener mengen selbst eine offene menge.
ce09ff4d6df59ef649e439146956509b|Ich schulde dir 3000 Yen.|ich schulde dir 3000 yen.
8d83c04618f8fb8f14066cb958af6d74|Ich habe zwei Hunde. Der eine ist weiß, der andere schwarz.|ich habe zwei hunde. der eine ist weiß, der andere schwarz.
7ad0135ac293d13ebbfbb619a222c7a0|Alle bewunderten seinen Mut.|alle bewunderten seinen mut.
9d08cbae521b985c26b4ede4d03a4217|Ein Bügelbrett mit Bügeleisen, zwei Mini-Bürokühlschränke, eine Eiswürfelmaschine und ein Fön sind ebenfalls vorhanden.|ein bügelbrett mit bügeleisen, zwei mini-bürokühlschränke, eine eiswürfelmaschine und ein fön sind ebenfalls vorhanden.
e36382a1ac53ba7f5250a1221a513fa4|Dieses Rezept wurde für euch vom besten Schlemmer-Team Rumäniens getestet.|dieses rezept wurde für euch vom besten schlemmer-team rumäniens getestet.
95114f2498f151aa9523101567255623|Es handelt sich um eine Rede, die Jean Blubb letzten Monat in Stanford gehalten hat.|es handelt sich um eine rede, die jean blubb letzten monat in stanford gehalten hat.
07dd50e0d9c6893720beda8dbad84f16|„Könntest du mir mit meinen Englischhausaufgaben helfen?“ – „Natürlich.“|„könntest du mir mit meinen englischhausaufgaben helfen?“ – „natürlich.“
c9fcf87ef85a63b4f3fcc1f6171b2c8a|Grün steht dir total gut.|grün steht dir total gut.
9adc7927368ccebb44418f9f462f8e42|Atomenergie soll friedlichen Absichten von Nutzen sein.|atomenergie soll friedlichen absichten von nutzen sein.
25d38af09ec09c58632b69bc082ab930|Die Atombombe ist eine ernsthafte Bedrohung für die Menschheit.|die atombombe ist eine ernsthafte bedrohung für die menschheit.
27817f7b9c09b258204856e17d974d7b|Ich bin arbeitslos, deshalb kann ich nichts sparen.|ich bin arbeitslos, deshalb kann ich nichts sparen.
2ab11ad094481bfad680c269a4cce546|Ich hatte eine Panne.|ich hatte eine panne.
b76d8d33af5626e05c70fced7c07b429|Ich bin frei.|ich bin frei.
ccd0791e0c04e38958b04a4b8196f8fa|Freundschaft ist eine Pflanze, die oft gegossen werden muss.|freundschaft ist eine pflanze, die oft gegossen werden muss.
4c6c924909d06a234c0e95fcaaafaeff|Immer wenn ich das sehe, erinnere ich mich an ihn.|immer wenn ich das sehe, erinnere ich mich an ihn.
a90ce42d36513458036d597f714a28ee|Mayuko betrat den Raum.|mayuko betrat den raum.
336a92e36a468bfd58e85bd0f6aa2bb2|Ski ist mein Lieblingssport.|ski ist mein lieblingssport.
89620b607e04e7f1937bee0cb5d884c4|Ich fühle mich beobachtet.|ich fühle mich beobachtet.
df581f91c397dfd28d3a86cec4b0c508|Er hatte nichts zu sagen, also ist er gegangen.|er hatte nichts zu sagen, also ist er gegangen.
64c1f4bccf4823ddad7013c5af444c3a|Ich weiß nicht, ob es morgen schönes Wetter gibt, aber wenn es schönes Wetter gibt, werden wir picknicken gehen.|ich weiß nicht, ob es morgen schönes wetter gibt, aber wenn es schönes wetter gibt, werden wir picknicken gehen.
b700c6e416ac150f1123d8a779d4188e|Da der Apfelkuchen seiner Tante köstlich war, nahm er sich nach.|da der apfelkuchen seiner tante köstlich war, nahm er sich nach.
ddc5ef948ea666ee38394d2e18959846|1912 starb der österreichische Schneider Franz Reichelt, als er vom ersten Stock des Eiffelturms sprang, um seine Erfindung, den Fallschirmmantel, zu testen, der nicht funktionierte.|1912 starb der österreichische schneider franz reichelt, als er vom ersten stock des eiffelturms sprang, um seine erfindung, den fallschirmmantel, zu testen, der nicht funktionierte.
853da4b2c2d8a87e528e0e9d3a8277b2|Er hat es so gemacht, wie ich es ihm gesagt hatte.|er hat es so gemacht, wie ich es ihm gesagt hatte.
7b95d79b40586d00986161a73972fbb4|Ich lese nicht nur seine Romane, sondern auch seine Gedichte.|ich lese nicht nur seine romane, sondern auch seine gedichte.
9a920e9301c523f67a8c88b1cc90b455|Linda ist sechzehn, geht aber leicht für eine Zwanzigjährige durch.|linda ist sechzehn, geht aber leicht für eine zwanzigjährige durch.
0ecc03164fea137b4b5f85959296512e|Jemand packte mich am Arm.|jemand packte mich am arm.
75250119433954071b0aa1697d03607a|Mich erstaunt deine verantwortungslose Einstellung.|mich erstaunt deine verantwortungslose einstellung.
57536a23d8a6d8989d39018d55f3583b|Ein Motel ist so ähnlich wie ein Hotel, aber es ist kleiner und wird hauptsächtlich von Leuten genutzt, die mit dem Auto reisen.|ein motel ist so ähnlich wie ein hotel, aber es ist kleiner und wird hauptsächtlich von leuten genutzt, die mit dem auto reisen.
7f86a58a5223b6a94d23e0ac126d3319|Wie groß ist er?|wie groß ist er?
c5ac7c7ff6b7ce57c22d708f891fd4c7|Er scheint zu glauben, dass das, was er sagt, stimmt.|er scheint zu glauben, dass das, was er sagt, stimmt.
843373709655d1612721145bf3032c77|Etwas, das man nicht mit eigenen Ohren hört und mit eigenen Augen sieht, könnte wahr sein. Es könnte aber auch gelogen sein.|etwas, das man nicht mit eigenen ohren hört und mit eigenen augen sieht, könnte wahr sein. es könnte aber auch gelogen sein.
f65c83463db2fa70026de18eba51138d|Er konnte nicht kommen, weil er krank war.|er konnte nicht kommen, weil er krank war.
af6b4aac5e73c011c1a4ae36b84e2606|Es gibt noch viel zu tun.|es gibt noch viel zu tun.
f63fa32226d2a014a464f97076a916db|Ich habe darüber nachgedacht.|ich habe darüber nachgedacht.
d2d9361af315a2f9c7b06f6dc3240684|Er besitzt ausgezeichnete Englischkenntnisse.|er besitzt ausgezeichnete englischkenntnisse.
3fe03a7cb24459c501ee51d6a3f95a43|Wenn es jemand gibt, der noch zweifelt, dass Amerika ein Ort ist, wo alles möglich ist; der sich noch fragt, ob der Traum unserer Gründer in unserer Zeit noch lebendig ist; der die Kraft unserer Demokratie noch infrage stellt: Heute Abend erhält er die Antwort.|wenn es jemand gibt, der noch zweifelt, dass amerika ein ort ist, wo alles möglich ist; der sich noch fragt, ob der traum unserer gründer in unserer zeit noch lebendig ist; der die kraft unserer demokratie noch infrage stellt: heute abend erhält er die antwort.
3f800ac949d6c1b37b7f9194f9452c2c|Ich werde es sowieso machen, ob du damit einverstanden bist oder nicht.|ich werde es sowieso machen, ob du damit einverstanden bist oder nicht.
29323b4eaf7e4c9b4ec7059c531a097f|Sie trug einen langen, weiten Mantel.|sie trug einen langen, weiten mantel.
6be3b6f05a2474fbf82a9509cb4d7941|Sie war glücklich, ihn zu treffen.|sie war glücklich, ihn zu treffen.
581f10fccd481a9dfd137febfedec934|Ich verstehe mich sehr gut mit meiner Stiefmutter.|ich verstehe mich sehr gut mit meiner stiefmutter.
5c5887237dd8cc21686e14fcbdff92f8|Ich wollte gerade rausgehen, als er mich besuchen kam.|ich wollte gerade rausgehen, als er mich besuchen kam.
c0cda97dae0d4b28e40a21eb4bef146c|Ich kann nicht sagen, wie froh ich war, das zu hören.|ich kann nicht sagen, wie froh ich war, das zu hören.
b03ccb56ffed13a02cf7e3bb8aaf56c0|Ich bin sicher, dass er an dem Wettbewerb teilnehmen wird.|ich bin sicher, dass er an dem wettbewerb teilnehmen wird.
471d44392fd5a21373be18245605f1dc|Ich war ein wenig überrascht.|ich war ein wenig überrascht.
8b4f67cf7ba40d705b6b19de8307936a|Nur wenige Passagiere haben die Katastrophe überlebt.|nur wenige passagiere haben die katastrophe überlebt.
4c018de2ae0e38a98e876581b3d82a16|Er sagte, dass er nicht hereinkommen würde, aber letztendlich ist er hereingekommen.|er sagte, dass er nicht hereinkommen würde, aber letztendlich ist er hereingekommen.
02efaccf8d2dab246e96e4a19bc7c5a8|Spanisch ist ihre Muttersprache.|spanisch ist ihre muttersprache.
480ab743292dc4aae347843aecd2a7e9|Milch macht uns stark.|milch macht uns stark.
e92fa2299c83c9419467b2d50178d08b|Bis auf Jim sind alle gekommen.|bis auf jim sind alle gekommen.
fc03655b6fbcd242ccd6b8e5b593a77b|Der Ausschluss der Mathematik aus der Sphäre der Kultur kommt einer intellektuellen Kastration gleich.|der ausschluss der mathematik aus der sphäre der kultur kommt einer intellektuellen kastration gleich.
d998f657444293a5d5fdd9661eedb152|Dieses Buch ist das literarische Äquivalent zu Haribosüßigkeiten: Man will nur eins probieren und verschlingt letztendlich die ganze Tüte.|dieses buch ist das literarische äquivalent zu haribosüßigkeiten: man will nur eins probieren und verschlingt letztendlich die ganze tüte.
bdcfa04fb646d6b9d86263734a9ae750|Ich erwarte nicht von dir, dass du mich verstehst, sondern nur, dass du mich für das liebst, was ich bin.|ich erwarte nicht von dir, dass du mich verstehst, sondern nur, dass du mich für das liebst, was ich bin.
02a88737dcc9403cd769ba6b6a8df462|Er arbeitet, um zu leben.|er arbeitet, um zu leben.
7347404ffcb6852870f4e3ce2089e5ed|Ich bin zu beschäftigt, um ihr zu helfen.|ich bin zu beschäftigt, um ihr zu helfen.
d107ac3ae25993b1af3b96a6290c7fa3|Man sagt, dass dieser Tempel vor über 500 Jahren gebaut wurde.|man sagt, dass dieser tempel vor über 500 jahren gebaut wurde.
4c272f6245bde745ac0db4dbef8e9af3|Vor Kurzem ging ich auf meinem Nachhauseweg von der Schule in eine Gebrauchtbuchhandlung und fand dort zufällig ein Buch, nach dem ich schon seit Langem gesucht hatte.|vor kurzem ging ich auf meinem nachhauseweg von der schule in eine gebrauchtbuchhandlung und fand dort zufällig ein buch, nach dem ich schon seit langem gesucht hatte.
a75e6a28bf7c79271f2e3418613fed5c|New York ist die größte Stadt der Welt.|new york ist die größte stadt der welt.
119be7690581d79defdfd5e6e23c7569|Innen in den Schulgebäuden darfst du nicht rennen.|innen in den schulgebäuden darfst du nicht rennen.
369b745c1dfaca592b34716b71d4604d|Der Wetterbericht ist nicht unbedingt zuverlässig.|der wetterbericht ist nicht unbedingt zuverlässig.
67e04036e2ae912d63bdad9bab75d275|Ich kann mich nicht daran erinnern, jemals Feuerwehrmann oder Baseballspieler werden zu wollen, als ich noch klein war.|ich kann mich nicht daran erinnern, jemals feuerwehrmann oder baseballspieler werden zu wollen, als ich noch klein war.
a9e7c3f03dd12ea49d561d5d35dc0d75|Glaubst du an mich?|glaubst du an mich?
3b21007d4fe18a2b8c10ca0b1d6372ab|Ich denke du bist auf dem richtigen Weg.|ich denke du bist auf dem richtigen weg.
53b9c7d3acb30679e8ed7aa9f6b1569a|Ja, ich bin aus Sapporo.|ja, ich bin aus sapporo.
37b51e6603951f993ad972ec9857bea1|Fröhliches Halloween!|fröhliches halloween!
03cacac9874d6d6be9b5b232298fdbc8|Der Fremde war zu überrascht zum Sprechen.|der fremde war zu überrascht zum sprechen.
b0b14087aeea69899733e9f5912070bc|Es ist nicht leicht, schlechte Angewohnheiten wieder loszuwerden.|es ist nicht leicht, schlechte angewohnheiten wieder loszuwerden.
2938eead918558338f880e75bfd23f36|Ich habe nicht mit unseren neuen Nachbarn gesprochen, ich kenne sie nur vom Sehen her.|ich habe nicht mit unseren neuen nachbarn gesprochen, ich kenne sie nur vom sehen her.
63b950313476040c11a365d37469b0f5|Ich weiß nicht, an wen ich mich wenden soll.|ich weiß nicht, an wen ich mich wenden soll.
af4740ee33c55f7a0e3b3af38d4f63ff|Diese Blume ist gelb, aber alle anderen sind blau.|diese blume ist gelb, aber alle anderen sind blau.
0b19a64f01163d2c81c23a6abdce4f38|Es war eine der großen Entdeckungen in der Wissenschaft.|es war eine der großen entdeckungen in der wissenschaft.
80b04fd0756b414d281807661ed392b5|Selbst deine Schwächen können meinen Respekt vor dir nicht schmälern, und darauf kommt es bei Freundschaft schließlich an.|selbst deine schwächen können meinen respekt vor dir nicht schmälern, und darauf kommt es bei freundschaft schließlich an.
2a7d2460d420fb26f977ad6f36f079d3|Ich weiß nicht, ob er kommt oder nicht.|ich weiß nicht, ob er kommt oder nicht.
7078bf33de34ed7577e5463e85ca98c6|Ich verwechsele John immer mit seinem Zwillingsbruder.|ich verwechsele john immer mit seinem zwillingsbruder.
efd6d7c94a95bef284fcbcac20da9d54|Seine Nichte ist attraktiv und reif für ihr Alter.|seine nichte ist attraktiv und reif für ihr alter.
55636798396fd6c7f0098b07a92e3b05|Du hast dich so sehr verändert, dass ich dich fast nicht wiedererkenne.|du hast dich so sehr verändert, dass ich dich fast nicht wiedererkenne.
587fd56d4c454bd1976de641b5ff3481|Ich bin von dir enttäuscht.|ich bin von dir enttäuscht.
1396e1d390ba9fb1aa6a8e3f105cc80f|Sie fluchte lautstark.|sie fluchte lautstark.
b7cdc156043f3c5351bcc30f0af141df|Es wird jetzt draußen dunkler.|es wird jetzt draußen dunkler.
4246f0df864b907928d224398421a440|Leider war das Hotel, das du vorgeschlagen hast, völlig ausgebucht.|leider war das hotel, das du vorgeschlagen hast, völlig ausgebucht.
647dc5932c7a8aabe66cfc9ce9d1fef3|Sie nennt mich Kenji.|sie nennt mich kenji.
fec2eb4c0a1edf3ecd6a945650fb9474|Durch den Intensivkurs hat mein Französisch erstaunliche Fortschritte gemacht.|durch den intensivkurs hat mein französisch erstaunliche fortschritte gemacht.
78bd3023c6383bba9f6f5cb23d1ca9e0|Ich hatte gehofft, noch 50.000 Meilen aus meinem Wagen rauszuholen, aber er gab auf der Autobahn den Geist auf und die Reparatur würde zu viel kosten.|ich hatte gehofft, noch 50.000 meilen aus meinem wagen rauszuholen, aber er gab auf der autobahn den geist auf und die reparatur würde zu viel kosten.
98429cf6728b4a04bb4607a1c8acf89b|Ich bin Vegetarier.|ich bin vegetarier.
7f0fb0d6f8ab5dfad67e39f6d8d70fe8|Ich esse kein Fleisch, keinen Fisch und keine Meeresfrüchte, und auch keine Fleischbrühe.|ich esse kein fleisch, keinen fisch und keine meeresfrüchte, und auch keine fleischbrühe.
3dc8fa0d67ad5c339cf6ca694ac29a47|Hast du viel Zeit?|hast du viel zeit?
13e5abc6e1fcad1b95127febc4babfb2|Linux ist ein kostenloses Betriebssystem. Du solltest es ausprobieren.|linux ist ein kostenloses betriebssystem. du solltest es ausprobieren.
c98d69fa4c4a8cf303a2b36762e821d4|Die meisten Programmierer hassen Fehlerbehebung. Es macht mehr Spaß, Bugs zu programmieren, als sie zu beheben.|die meisten programmierer hassen fehlerbehebung. es macht mehr spaß, bugs zu programmieren, als sie zu beheben.
1eef5ea2c751a0ad322a3e8a484c53b2|Er drehte die Flasche auf den Kopf und schüttelte sie, aber der Honig wollte trotzdem nicht herauskommen.|er drehte die flasche auf den kopf und schüttelte sie, aber der honig wollte trotzdem nicht herauskommen.
65183ed3ef0d51980495f38a9c177ae7|Ich war äußerst erschüttert, als ich diese Nachricht hörte.|ich war äußerst erschüttert, als ich diese nachricht hörte.
a62980d6c504382ddd320a690136c675|England wird durch den Ärmelkanal vom europäischen Festland getrennt.|england wird durch den ärmelkanal vom europäischen festland getrennt.
16d64716382864fe343f6f3ea5a27985|Die Universitätsbildung ist dazu da, das Wissen zu erweitern.|die universitätsbildung ist dazu da, das wissen zu erweitern.
bc620e1126439d5fc4e8dadd674577c7|Einer für alle und alle für einen, das ist echte Teamarbeit.|einer für alle und alle für einen, das ist echte teamarbeit.
6ee8ae25f54b1e94a22b8b6b69b2799d|Bitte iss nach Belieben von dem Kuchen.|bitte iss nach belieben von dem kuchen.
3994af91269bfb0453d65b6c9b8cf37a|Nicht nur Jim, sondern auch seine Eltern sind krank.|nicht nur jim, sondern auch seine eltern sind krank.
bddc7063f891a7703789f7549ff3a7f1|Das gegenwärtige Ungleichgewicht von Angebot und Nachfrage wird nicht als zyklisches Phänomen, sondern als Effekt der strukturellen Änderung der Nachfrageseite angesehen.|das gegenwärtige ungleichgewicht von angebot und nachfrage wird nicht als zyklisches phänomen, sondern als effekt der strukturellen änderung der nachfrageseite angesehen.
bffbdff235520c2a6106a6b8e17ea6a7|Ich habe mich schlecht gefühlt und bin ins Krankenhaus gegangen, aber schlussendlich war es nichts Schlimmes.|ich habe mich schlecht gefühlt und bin ins krankenhaus gegangen, aber schlussendlich war es nichts schlimmes.
39d6bd5df8eccbba9ec5af71f703217d|Besorgt dachte er über seinen vergangenen Misserfolg nach.|besorgt dachte er über seinen vergangenen misserfolg nach.
af013c11eae77e42026a2af344f8a476|Sei nicht so kindisch.|sei nicht so kindisch.
d6da0a3cb0c4651fc0b94a9f2cd133f0|Der Bildhauer schnitzte eine Buddha-Statue aus Holz.|der bildhauer schnitzte eine buddha-statue aus holz.
8800fb7c1e43b24bb463781865f2d3b5|Den Tapferen hilft das Glück.|den tapferen hilft das glück.
ab15d0866e42ef6abd7935f8ef6b90cc|Ich konnte den Wasserhahn nicht benutzen, weil er kaputt war.|ich konnte den wasserhahn nicht benutzen, weil er kaputt war.
ee1379bb0f7d5c7d4bb8e060c082769b|Es ist befremdlich, dass ein Kameramann, der in ein Kriegsgebiet geschickt wird, nicht die Gefahren durch Blindgänger kennt. Der Zeitungsverlag vernachlässigt seine Schulungen.|es ist befremdlich, dass ein kameramann, der in ein kriegsgebiet geschickt wird, nicht die gefahren durch blindgänger kennt. der zeitungsverlag vernachlässigt seine schulungen.
df3b6e74c8773f5ec6817eaa23a268bd|Ach, ich habe noch nicht entschieden, was ich tun werde.|ach, ich habe noch nicht entschieden, was ich tun werde.
62d878bc700b279f5911837fae356a90|An Orten, an denen es viel schneit, ist Kerosin ein unverzichtbares Gut.|an orten, an denen es viel schneit, ist kerosin ein unverzichtbares gut.
70e9efc067e285a3b07480dd7671605a|Gerechterweise muss man sagen, dass er mit seinem begrenzten Personal und Material sein Bestes geleistet hat.|gerechterweise muss man sagen, dass er mit seinem begrenzten personal und material sein bestes geleistet hat.
4399becca452e47026bf9083651dea12|Es gibt zwei verschiedene Arten von Menschen auf der Welt: die, die die Menschen in zwei verschiedene Arten unterteilen, und die, die es nicht tun.|es gibt zwei verschiedene arten von menschen auf der welt: die, die die menschen in zwei verschiedene arten unterteilen, und die, die es nicht tun.
6db6ab7f0781da6e1b470c1479d23d47|Niemand vertraut ihm mehr.|niemand vertraut ihm mehr.
3f595b97d75c4a01f326b7e09b508c86|Sie hatte kein Papier mehr.|sie hatte kein papier mehr.
dc39e889b5b2cac78e7d216bf48e47a0|Er gehört nicht zu uns.|er gehört nicht zu uns.
011df968c5192e5613ed3c42e6b80c97|Die Häufigkeit der Erdbeben in letzter Zeit ist unheimlich.|die häufigkeit der erdbeben in letzter zeit ist unheimlich.
94453ff9f67814a116fbc32e61e4feaa|Vom Berg Fuji aus hat man eine phantastische Aussicht.|vom berg fuji aus hat man eine phantastische aussicht.
f2b06f4fed05f1fc4b19b11c777c9aa4|Die Regierungspartei ist korrupt, aber die Opposition ist es ebenso.|die regierungspartei ist korrupt, aber die opposition ist es ebenso.
79aaf9b68a693c3bffa31843fa645b2c|Bestell Judy schöne Grüße.|bestell judy schöne grüße.
c1f9afacddaf228aa0f57de6e34bd630|Bis vor einem Monat hatte ich noch wunderbar glänzende Haare, aber als ich mir die Haare schneiden und ausdünnen ließ, wurden sie plötzlich spröde.|bis vor einem monat hatte ich noch wunderbar glänzende haare, aber als ich mir die haare schneiden und ausdünnen ließ, wurden sie plötzlich spröde.
bdb62d8d2782cf0c380d10bea31ca2a9|Ich war noch nie in England.|ich war noch nie in england.
3522cd062493268eff072750c1a4a853|Lass uns diese Angelegenheit nach dem Mittagessen noch einmal besprechen.|lass uns diese angelegenheit nach dem mittagessen noch einmal besprechen.
b7f35c13350dc6f01870eb84adff7f3d|Schüler dürfen diese Toilette nicht benutzen.|schüler dürfen diese toilette nicht benutzen.
95ad0527a89988c35ba985d3f05261e7|Er zögerte eine Weile.|er zögerte eine weile.
16b4c10b65c80ce187316e9216b47649|Ordentlich lesen zu lernen ist die wichtigste Grundlage überhaupt.|ordentlich lesen zu lernen ist die wichtigste grundlage überhaupt.
e2a722290192dbfab41f035ed2912723|Hast du gestern mit deinen Klassenkameraden gesprochen?|hast du gestern mit deinen klassenkameraden gesprochen?
2d18397c6e6f22de51104487b290d894|Das Dienstmädchen hütet das Bett.|das dienstmädchen hütet das bett.
1b4f7e3fde92f90ef5d948ee23da6944|Er studiert Computerlinguistik.|er studiert computerlinguistik.
10dd1b463d3a41e664666a24d9e523bb|Gold ist wertvoller als Eisen.|gold ist wertvoller als eisen.
94492ae1789bcd4d28ed04cbaad00641|Gibt es einen größeren Liebesbeweis als unsere tiefsten Wünsche mit einer anderen Person zu teilen?|gibt es einen größeren liebesbeweis als unsere tiefsten wünsche mit einer anderen person zu teilen?
37497a9b26d26369b9ddb5e922c34f82|Ich vermisse euch.|ich vermisse euch.
ed8c00a4b126f4e38805bdab339a7707|Sie ist sehr charmant.|sie ist sehr charmant.
a351baab8d5d2eba1c47cbdeb79119b7|Nicolas meint, dass die Romanisierung des kyrillischen Alphabets genauso schön wie die Sonne ist, die die Augen verbrennt, wenn man sie ansieht.|nicolas meint, dass die romanisierung des kyrillischen alphabets genauso schön wie die sonne ist, die die augen verbrennt, wenn man sie ansieht.
01bd6a538c194ca6f2ac2d78903a0002|Letztlich wurde er der Vorstandsvorsitzende von IBM.|letztlich wurde er der vorstandsvorsitzende von ibm.
da86df0bcb111172448a655e27c46c55|Die Töchter meiner Freundin sind Mitglieder bei Facebook.|die töchter meiner freundin sind mitglieder bei facebook.
1275048f7abcddfda00f263b436d3033|Diese Tatsachen beweisen, dass seine Aussagen richtig sind.|diese tatsachen beweisen, dass seine aussagen richtig sind.
6d4b83da8a2373f6d0865f0fa75dec1f|Mahjongg-Steine sind sehr schön.|mahjongg-steine sind sehr schön.
10630cb0efdde47cd05e89313426b020|Sie hatte schlechte Laune. Sie muss sich über etwas aufgeregt haben, das sich ereignete, bevor ich gekommen bin.|sie hatte schlechte laune. sie muss sich über etwas aufgeregt haben, das sich ereignete, bevor ich gekommen bin.
e7802fefffe4aa5152a16db6b034b886|Wurde die Sekretärposition bereits besetzt?|wurde die sekretärposition bereits besetzt?
a6c498e98602cd36eedf6fde27d6d1bd|Was magst du?|was magst du?
1e622465414daa8242a6e28dc9707776|Wo sind deine Sachen?|wo sind deine sachen?
afbbbbd95a19580d881152054c0beef9|Ich bin mehr als einmal trunken gewesen, meine Leidenschaften waren nie weit vom Wahnsinn, und beides reut mich nicht: denn ich habe in meinem Maße begreifen lernen, wie man alle außerordentlichen Menschen, die etwas Großes, etwas Unmöglichscheinendes wirkten, von jeher für Trunkene und Wahnsinnige ausschreien musste.|ich bin mehr als einmal trunken gewesen, meine leidenschaften waren nie weit vom wahnsinn, und beides reut mich nicht: denn ich habe in meinem maße begreifen lernen, wie man alle außerordentlichen menschen, die etwas großes, etwas unmöglichscheinendes wirkten, von jeher für trunkene und wahnsinnige ausschreien musste.
473267ff4f82749201cb96e997161d80|Ich bekomme niemals die Gelegenheit, auch etwas vorzubringen, weil Emma mir immer das Wasser abgräbt.|ich bekomme niemals die gelegenheit, auch etwas vorzubringen, weil emma mir immer das wasser abgräbt.
